 ,post_title,post_author,post_date,post_type,post_status,date,open,high,low,close,volume_shares,value_mmk,companies,market_capitalization
1,7th Nov. 2016,admin,11/7/2016 0:00,company_4,publish,20161107,9600,9600,9600,9600,500,4800000,10400986,99849
2,4th Nov. 2016,admin,11/4/2016 0:00,company_4,publish,20161104,9600,9600,9600,9600,843,8092800,10400986,99849
3,3rd Nov. 2016,admin,11/3/2016 0:00,company_4,publish,20161103,9600,9600,9600,9600,56,537600,10400986,99849
4,2nd Nov. 2016,admin,11/2/2016 0:00,company_4,publish,20161102,9600,9600,9600,9600,383,3676800,10400986,99849
5,1st Nov. 2016,admin,11/1/2016 0:00,company_4,publish,20161101,9500,9500,9400,9400,210,1974000,10400986,97769
6,31st Oct. 2016,admin,10/31/2016 0:00,company_4,publish,20161031,9400,9500,9400,9500,715,6737900,10400986,98809
7,28th Oct. 2016,admin,10/28/2016 0:00,company_4,publish,20161028,9400,9400,9300,9300,159,1481100,10400986,96729
8,27th Oct. 2016,admin,10/27/2016 0:00,company_4,publish,20161027,9000,9000,9000,9000,655,5895000,10400986,93609
9,26th Oct. 2016,admin,10/26/2016 0:00,company_4,publish,20161026,9500,9500,9000,9000,280,2585000,10400986,93609
10,25th Oct. 2016,admin,10/25/2016 0:00,company_4,publish,20161025,9100,9100,9100,9100,550,5005000,10400986,94649
11,24th Oct. 2016,admin,10/24/2016 0:00,company_4,publish,20161024,9500,9500,9400,9400,50,470000,10400986,97769
12,21st Oct. 2016,admin,10/21/2016 0:00,company_4,publish,20161021,9500,9500,9500,9500,767,7286500,10400986,98809
13,20th Oct. 2016,admin,10/20/2016 0:00,company_4,publish,20161020,9800,9800,9800,9800,1409,13808200,10400986,101930
14,19th Oct. 2016,admin,10/19/2016 0:00,company_4,publish,20161019,8800,8800,8800,8800,433,3810400,10400986,91529
15,18th Oct. 2016,admin,10/18/2016 0:00,company_4,publish,20161018,8600,8700,8600,8700,290,2518000,10400986,90489
